match_date_,Home team,Away team,home_n_tries,minutes_of_home_tries,away_n_tries,minutes_of_away_tries,home_n_pen_kicks,minutes_of_home_pen_kicks,away_n_pen_kicks,minutes_of_away_pen_kicks,home_n_conversions,minutes_of_home_conversions,away_n_conversions,minutes_of_away_conversions,competition,round_stage,pkey,home_score,away_score,score_diff,home_pack_weight,away_pack_weight,home_forwards_ages,home_backs_ages,away_forwards_ages,away_backs_ages
2021-09-04,BRIVE,PERPIGNAN,3.0,32_12_68,0.0,,4.0,7_26_37_59,5.0,9_16_20_43_56,3.0,13_33_69,0.0,,top-14,pool stage,BRIVE_PERPIGNAN_2021-09-04,36,15,21,949,917,28,25,30,27
2021-09-04,CASTRES,PAU,1.0,18,0.0,,3.0,32_22_68,3.0,6_26_52,1.0,19,0.0,,top-14,pool stage,CASTRES_PAU_2021-09-04,16,12,4,942,913,28,28,28,25
2021-09-04,PARIS,RACING 92,2.0,67_79,3.0,21_28_75,3.0,2_24_51,5.0,7_54_61_11_71,1.0,79,3.0,22_28_76,top-14,pool stage,PARIS_RACING 92_2021-09-04,21,36,-15,927,899,28,25,28,26
2021-09-04,TOULON,MONTPELLIER,0.0,,2.0,80_12,8.0,3_9_27_40_56_63_68_75,4.0,71_18_61_65,0.0,,1.0,80,top-14,pool stage,TOULON_MONTPELLIER_2021-09-04,24,24,0,957,920,29,24,29,27
2021-09-04,BIARRITZ,BORDEAUX,3.0,32_25_45,2.0,78_74,2.0,19_50,1.0,29,3.0,26_33_46,1.0,75,top-14,pool stage,BIARRITZ_BORDEAUX_2021-09-04,27,15,12,901,933,27,28,30,26
2021-09-05,LYON,CLERMONT,3.0,33_37_10,1.0,8,3.0,40_53_59,4.0,17_20_29_49,2.0,12_38,1.0,9,top-14,pool stage,LYON_CLERMONT_2021-09-05,28,19,9,886,927,30,26,27,27
2021-09-05,LA ROCHELLE,TOULOUSE,1.0,18,1.0,66,3.0,39_46_52,5.0,3_15_40_59_74,1.0,19,0.0,,top-14,pool stage,LA ROCHELLE_TOULOUSE_2021-09-05,16,20,-4,940,923,29,26,27,26
2021-09-11,CLERMONT,CASTRES,3.0,38_8_50,3.0,76_23_40,3.0,16_26_73,4.0,4_19_67_69,3.0,9_39_51,2.0,40_78,top-14,pool stage,CLERMONT_CASTRES_2021-09-11,30,34,-4,912,912,27,25,27,29
2021-09-11,MONTPELLIER,BRIVE,5.0,20_51_4_35_39,3.0,14_45_68,2.0,10_28,0.0,,4.0,5_36_40_52,1.0,46,top-14,pool stage,MONTPELLIER_BRIVE_2021-09-11,39,17,22,916,929,28,25,26,25
2021-09-11,PAU,LYON,0.0,,1.0,10,6.0,7_23_33_44_55_69,4.0,26_40_60_77,0.0,,0.0,,top-14,pool stage,PAU_LYON_2021-09-11,21,17,4,911,906,28,25,28,26
2021-09-11,PERPIGNAN,BIARRITZ,3.0,47_21_59,2.0,8_64,3.0,16_40_70,2.0,43_51,3.0,22_48_60,2.0,9_65,top-14,pool stage,PERPIGNAN_BIARRITZ_2021-09-11,33,20,13,908,899,30,29,28,28
2021-09-11,BORDEAUX,PARIS,4.0,60_80_53_75,1.0,65,3.0,3_34_52,1.0,58,4.0,60_55_76_80,1.0,66,top-14,pool stage,BORDEAUX_PARIS_2021-09-11,37,10,27,926,923,29,27,29,26
2021-09-11,RACING 92,LA ROCHELLE,1.0,11,1.0,58,3.0,51_62_79,1.0,24,1.0,13,1.0,58,top-14,pool stage,RACING 92_LA ROCHELLE_2021-09-11,23,10,13,905,892,27,26,27,26
2021-09-12,TOULOUSE,TOULON,6.0,43_8_31_49_25_74,1.0,80,1.0,18,1.0,7,4.0,26_44_50_76,1.0,80,top-14,pool stage,TOULOUSE_TOULON_2021-09-12,41,10,31,935,929,27,26,29,25
2021-09-17,BRISTOL,SARACENS,0.0,,1.0,69,3.0,4_14_17,7.0,10_32_39_44_46_58_64,0.0,,0.0,,premiership,pool stage,BRISTOL_SARACENS_2021-09-17,9,26,-17,914,922,29,27,26,26
2021-09-18,BIARRITZ,RACING 92,1.0,26,3.0,77_34_61,7.0,13_30_43_55_57_64_74,0.0,,1.0,27,2.0,62_77,top-14,pool stage,BIARRITZ_RACING 92_2021-09-18,28,19,9,898,932,27,28,25,27
2021-09-18,CASTRES,BORDEAUX,2.0,7_62,2.0,50_44,3.0,40_13_76,2.0,17_26,2.0,8_63,2.0,45_51,top-14,pool stage,CASTRES_BORDEAUX_2021-09-18,23,23,0,926,924,27,29,26,28
2021-09-18,LYON,PERPIGNAN,7.0,6_72_49_11_28_77_80,0.0,,0.0,,1.0,17,6.0,7_12_29_73_79_80,0.0,,top-14,pool stage,LYON_PERPIGNAN_2021-09-18,47,3,44,912,920,25,27,29,26
2021-09-18,MONTPELLIER,TOULOUSE,2.0,76_66,2.0,1_49,1.0,21,1.0,63,1.0,67,2.0,2_50,top-14,pool stage,MONTPELLIER_TOULOUSE_2021-09-18,15,17,-2,902,938,28,26,27,26
2021-09-18,CLERMONT,LA ROCHELLE,2.0,19_43,1.0,79,3.0,3_38_79,5.0,8_14_36_40_50,2.0,20_44,1.0,80,top-14,pool stage,CLERMONT_LA ROCHELLE_2021-09-18,23,22,1,924,916,27,26,28,26
2021-09-18,SALE,BATH,2.0,29_34,1.0,52,2.0,23_78,4.0,38_43_67_74,2.0,30_36,1.0,53,premiership,pool stage,SALE_BATH_2021-09-18,20,19,1,920,898,26,26,26,26
2021-09-18,NORTHAMPTON,GLOUCESTER,4.0,73_43_7_46,3.0,54_25_67,2.0,5_57,1.0,41,4.0,8_45_47_74,1.0,55,premiership,pool stage,NORTHAMPTON_GLOUCESTER_2021-09-18,34,20,14,944,907,27,26,27,26
2021-09-18,LEICESTER,EXETER,5.0,59_67_36_22_11,2.0,15_80,1.0,2,0.0,,3.0,38_60_68,1.0,80,premiership,pool stage,LEICESTER_EXETER_2021-09-18,34,19,15,918,938,26,26,27,26
2021-09-18,WORCESTER,LONDON IRISH,5.0,15_50_36_68_39,4.0,44_6_63_72,1.0,61,0.0,,4.0,17_40_52_69,2.0,64_74,premiership,pool stage,WORCESTER_LONDON IRISH_2021-09-18,36,24,12,893,940,28,28,29,25
2021-09-18,BRIVE,PAU,4.0,11_37_18_40,1.0,20,2.0,3_47,2.0,30_35,2.0,38_40,1.0,21,top-14,pool stage,BRIVE_PAU_2021-09-18,30,13,17,948,909,28,25,26,28
2021-09-19,TOULON,PARIS,5.0,16_28_45_48_80,1.0,58,1.0,10,0.0,,5.0,17_29_46_49_80,0.0,,top-14,pool stage,TOULON_PARIS_2021-09-19,38,5,33,971,941,30,25,26,25
2021-09-19,NEWCASTLE,HARLEQUINS,3.0,53_27_22,4.0,58_20_11_43,1.0,80,0.0,,1.0,27,3.0,12_21_59,premiership,pool stage,NEWCASTLE_HARLEQUINS_2021-09-19,20,26,-6,946,906,31,25,26,25
2021-09-24,ZEBRE,LIONS,3.0,51_61_64,5.0,32_19_21_15_10,0.0,,1.0,42,2.0,51_62,5.0,11_16_19_22_33,urc,pool stage,ZEBRE_LIONS_2021-09-24,26,38,-12,924,925,26,26,27,25
2021-09-24,ULSTER,GLASGOW,4.0,22_43_48_58,3.0,42_14_64,0.0,,1.0,26,4.0,23_44_49_60,2.0,44_65,urc,pool stage,ULSTER_GLASGOW_2021-09-24,35,29,6,906,910,29,26,28,26
2021-09-24,GLOUCESTER,LEICESTER,4.0,16_33_56_71,4.0,26_66_11_52,0.0,,3.0,3_6_62,2.0,17_56,2.0,13_53,premiership,pool stage,GLOUCESTER_LEICESTER_2021-09-24,26,33,-7,924,918,28,26,25,26
2021-09-24,CARDIFF,CONNACHT,5.0,38_50_69_9_73,2.0,12_80,0.0,,3.0,3_36_57,4.0,40_51_70_10,1.0,13,urc,pool stage,CARDIFF_CONNACHT_2021-09-24,33,21,12,929,892,28,27,26,26
2021-09-25,PAU,MONTPELLIER,2.0,77_70,4.0,39_80_7_74,3.0,6_35_45,0.0,,2.0,71_78,1.0,40,top-14,pool stage,PAU_MONTPELLIER_2021-09-25,23,22,1,920,926,28,26,27,26
2021-09-25,LA ROCHELLE,BIARRITZ,7.0,75_15_23_40_8_78_28,1.0,46,0.0,,1.0,56,6.0,8_16_24_40_76_79,1.0,47,top-14,pool stage,LA ROCHELLE_BIARRITZ_2021-09-25,59,17,42,888,900,25,29,28,28
2021-09-25,BORDEAUX,BRIVE,3.0,59_63_43,1.0,18,4.0,5_8_11_49,1.0,14,1.0,64,1.0,19,top-14,pool stage,BORDEAUX_BRIVE_2021-09-25,29,10,19,961,913,29,27,26,26
2021-09-25,HARLEQUINS,WORCESTER,5.0,73_29_40_53_16,4.0,58_42_82_62,0.0,,1.0,2,5.0,16_30_42_54_74,3.0,43_59_64,premiership,pool stage,HARLEQUINS_WORCESTER_2021-09-25,35,29,6,911,893,27,25,28,28
2021-09-25,BATH,NEWCASTLE,1.0,69,3.0,39_33_11,2.0,27_85,1.0,15,1.0,71,1.0,40,premiership,pool stage,BATH_NEWCASTLE_2021-09-25,13,20,-7,898,939,26,25,30,26
2021-09-25,WASPS,BRISTOL,5.0,43_77_12_35_63,1.0,27,2.0,19_30,1.0,2,4.0,45_65_79_81,0.0,,premiership,pool stage,WASPS_BRISTOL_2021-09-25,44,8,36,926,919,28,28,30,26
2021-09-25,EXETER,NORTHAMPTON,3.0,4_38_6,2.0,12_20,1.0,57,4.0,32_64_70_79,3.0,5_7_40,2.0,13_21,premiership,pool stage,EXETER_NORTHAMPTON_2021-09-25,24,26,-2,946,938,27,26,29,24
2021-09-25,PARIS,CASTRES,2.0,52_77,1.0,26,5.0,13_21_35_55_63,1.0,17,1.0,78,1.0,27,top-14,pool stage,PARIS_CASTRES_2021-09-25,34,10,24,938,920,28,26,25,27
2021-09-25,MUNSTER,SHARKS,5.0,43_50_35_5_78,2.0,56_69,2.0,28_68,1.0,31,3.0,44_51_78,2.0,56_70,urc,pool stage,MUNSTER_SHARKS_2021-09-25,42,17,25,907,934,28,25,26,24
2021-09-25,EDINBURGH,SCARLETS,4.0,24_33_38_57,3.0,50_11_65,0.0,,1.0,36,3.0,25_34_58,2.0,51_66,urc,pool stage,EDINBURGH_SCARLETS_2021-09-25,26,22,4,932,906,28,26,29,27
2021-09-25,LEINSTER,BULLS,4.0,12_6_56_69,0.0,,1.0,4,1.0,22,4.0,8_13_58_71,0.0,,urc,pool stage,LEINSTER_BULLS_2021-09-25,31,3,28,920,923,26,27,27,26
2021-09-25,BENETTON,STORMERS,2.0,15_58,2.0,1_43,1.0,62,2.0,22_37,2.0,16_59,1.0,44,urc,pool stage,BENETTON_STORMERS_2021-09-25,22,18,4,909,899,24,26,27,25
2021-09-25,RACING 92,LYON,3.0,11_13_3,2.0,46_61,1.0,59,2.0,64_65,3.0,4_12_14,2.0,47_62,top-14,pool stage,RACING 92_LYON_2021-09-25,24,20,4,903,902,26,26,26,26
2021-09-25,PERPIGNAN,TOULON,0.0,,0.0,,4.0,27_50_60_67,3.0,6_48_54,0.0,,0.0,,top-14,pool stage,PERPIGNAN_TOULON_2021-09-25,12,9,3,900,938,29,29,28,25
2021-09-26,TOULOUSE,CLERMONT,3.0,43_70_21,2.0,7_32,2.0,36_77,0.0,,3.0,22_43_71,1.0,33,top-14,pool stage,TOULOUSE_CLERMONT_2021-09-26,27,15,12,926,926,26,27,28,26
2021-09-26,LONDON IRISH,SALE,5.0,32_16_76_46_66,4.0,36_1_14_20,0.0,,1.0,29,3.0,17_33_77,4.0,2_14_22_37,premiership,pool stage,LONDON IRISH_SALE_2021-09-26,31,31,0,940,913,29,27,26,27
2021-09-26,DRAGONS,OSPREYS,2.0,3_76,3.0,61_17_51,2.0,11_20,2.0,28_43,2.0,5_76,3.0,18_52_63,urc,pool stage,DRAGONS_OSPREYS_2021-09-26,23,27,-4,910,909,26,27,26,27
2021-10-01,CONNACHT,BULLS,5.0,48_44_80_71_15,1.0,1,1.0,33,0.0,,3.0,16_45_72,1.0,2,urc,pool stage,CONNACHT_BULLS_2021-10-01,34,7,27,916,919,27,27,27,27
2021-10-01,BRISTOL,BATH,2.0,30_66,3.0,16_51_41,2.0,7_46,1.0,28,1.0,67,1.0,18,premiership,pool stage,BRISTOL_BATH_2021-10-01,25,20,5,930,926,27,26,26,25
2021-10-01,SCARLETS,LIONS,4.0,4_78_18_69,1.0,59,4.0,28_38_62_66,2.0,13_32,2.0,5_19,1.0,60,urc,pool stage,SCARLETS_LIONS_2021-10-01,36,13,23,923,925,27,27,27,25
2021-10-02,PERPIGNAN,PAU,1.0,80,3.0,43_73_62,3.0,10_13_28,4.0,6_31_36_67,0.0,,1.0,44,top-14,pool stage,PERPIGNAN_PAU_2021-10-02,14,29,-15,909,911,31,28,28,26
2021-10-02,LYON,BORDEAUX,0.0,,2.0,18_65,5.0,7_23_37_47_58,2.0,10_25,0.0,,2.0,19_65,top-14,pool stage,LYON_BORDEAUX_2021-10-02,15,20,-5,914,938,27,27,27,27
2021-10-02,MONTPELLIER,LA ROCHELLE,0.0,,1.0,71,7.0,7_15_24_33_48_57_65,2.0,12_20,0.0,,0.0,,top-14,pool stage,MONTPELLIER_LA ROCHELLE_2021-10-02,21,11,10,902,913,28,26,28,27
2021-10-02,WORCESTER,GLOUCESTER,2.0,71_81,2.0,58_65,3.0,30_41_51,4.0,8_17_31_41,2.0,72_82,2.0,59_66,premiership,pool stage,WORCESTER_GLOUCESTER_2021-10-02,23,31,-8,906,917,29,27,28,26
2021-10-02,BENETTON,EDINBURGH,3.0,4_70_32,4.0,49_16_24_28,2.0,21_57,1.0,74,2.0,34_72,2.0,17_25,urc,pool stage,BENETTON_EDINBURGH_2021-10-02,28,27,1,893,903,25,26,27,27
2021-10-02,GLASGOW,SHARKS,5.0,19_13_1_35_42,3.0,56_25_74,0.0,,1.0,40,5.0,2_13_20_37_43,3.0,74_25_57,urc,pool stage,GLASGOW_SHARKS_2021-10-02,35,24,11,923,950,28,25,25,27
2021-10-02,ZEBRE,ULSTER,0.0,,6.0,62_78_20_40_57_45,1.0,33,0.0,,0.0,,3.0,63_46_79,urc,pool stage,ZEBRE_ULSTER_2021-10-02,3,36,-33,936,908,26,26,27,26
2021-10-02,OSPREYS,CARDIFF,0.0,,2.0,17_44,6.0,1_14_27_37_51_63,0.0,,0.0,,2.0,18_45,urc,pool stage,OSPREYS_CARDIFF_2021-10-02,18,14,4,909,938,26,27,27,28
2021-10-02,MUNSTER,STORMERS,5.0,50_46_40_55_67,2.0,19_8,1.0,80,2.0,29_65,3.0,41_46_68,1.0,21,urc,pool stage,MUNSTER_STORMERS_2021-10-02,34,18,16,901,915,27,26,27,25
2021-10-02,BRIVE,PARIS,1.0,3,0.0,,4.0,51_71_8_32,4.0,33_40_49_73,1.0,5,0.0,,top-14,pool stage,BRIVE_PARIS_2021-10-02,19,12,7,953,932,28,26,27,25
2021-10-02,CASTRES,TOULON,2.0,13_43,1.0,63,2.0,4_23,3.0,10_20_27,2.0,14_44,1.0,64,top-14,pool stage,CASTRES_TOULON_2021-10-02,27,16,11,926,928,27,29,28,27
2021-10-02,BIARRITZ,TOULOUSE,1.0,75,2.0,57_59,1.0,44,1.0,36,0.0,,2.0,58_60,top-14,pool stage,BIARRITZ_TOULOUSE_2021-10-02,11,17,-6,905,924,28,27,27,28
2021-10-02,NORTHAMPTON,LONDON IRISH,2.0,8_15,2.0,37_63,3.0,2_58_74,0.0,,2.0,9_16,2.0,37_64,premiership,pool stage,NORTHAMPTON_LONDON IRISH_2021-10-02,23,21,2,934,939,28,27,28,27
2021-10-02,NEWCASTLE,WASPS,2.0,79_3,2.0,50_74,2.0,20_64,0.0,,1.0,80,2.0,51_74,premiership,pool stage,NEWCASTLE_WASPS_2021-10-02,18,14,4,939,926,29,26,28,26
2021-10-02,LEICESTER,SARACENS,0.0,,0.0,,2.0,41_74,4.0,8_10_32_48,0.0,,0.0,,premiership,pool stage,LEICESTER_SARACENS_2021-10-02,13,12,1,918,932,26,27,27,27
2021-10-03,SALE,EXETER,2.0,3_70,3.0,56_39_54,1.0,10,2.0,20_42,1.0,5,2.0,41_58,premiership,pool stage,SALE_EXETER_2021-10-03,15,25,-10,919,948,27,26,28,26
2021-10-03,CLERMONT,RACING 92,1.0,71,2.0,12_51,7.0,7_40_44_47_55_71_77,1.0,17,0.0,,2.0,13_52,top-14,pool stage,CLERMONT_RACING 92_2021-10-03,26,17,9,911,925,27,27,25,24
2021-10-03,DRAGONS,LEINSTER,0.0,,1.0,12,2.0,62_65,0.0,,0.0,,1.0,14,urc,pool stage,DRAGONS_LEINSTER_2021-10-03,6,7,-1,907,924,26,26,27,26
2021-10-08,HARLEQUINS,BRISTOL,7.0,76_50_27_47_62_57_71,3.0,13_18_25,0.0,,1.0,41,6.0,29_47_55_58_72_77,3.0,14_19_25,premiership,pool stage,HARLEQUINS_BRISTOL_2021-10-08,52,24,28,911,916,27,25,27,27
2021-10-08,ULSTER,BENETTON,4.0,33_26_77_22,1.0,58,0.0,,1.0,7,4.0,23_27_34_78,0.0,,urc,pool stage,ULSTER_BENETTON_2021-10-08,28,8,20,906,899,28,25,27,26
2021-10-08,OSPREYS,SHARKS,1.0,73,2.0,41_58,2.0,2_16,2.0,67_77,1.0,74,1.0,42,urc,pool stage,OSPREYS_SHARKS_2021-10-08,13,27,-14,898,911,27,28,26,26
2021-10-09,CARDIFF,BULLS,1.0,17,2.0,42_60,4.0,4_10_33_72,5.0,25_48_63_71_76,1.0,18,2.0,43_60,urc,pool stage,CARDIFF_BULLS_2021-10-09,19,29,-10,926,922,27,28,28,26
2021-10-09,BORDEAUX,MONTPELLIER,4.0,43_18_35_6,2.0,59_65,1.0,23,3.0,14_21_80,2.0,19_44,2.0,60_65,top-14,pool stage,BORDEAUX_MONTPELLIER_2021-10-09,27,23,4,969,929,27,28,25,26
2021-10-09,SARACENS,NEWCASTLE,3.0,52_47_82,2.0,20_15,3.0,13_58_76,3.0,30_68_78,3.0,48_53_83,2.0,16_21,premiership,pool stage,SARACENS_NEWCASTLE_2021-10-09,37,23,14,947,932,27,27,28,26
2021-10-09,GLOUCESTER,SALE,4.0,17_12_35_62,5.0,74_31_49_83_79,2.0,7_46,1.0,41,2.0,18_63,2.0,32_75,premiership,pool stage,GLOUCESTER_SALE_2021-10-09,33,32,1,917,923,28,28,27,25
2021-10-09,EXETER,WORCESTER,6.0,21_32_47_42_43_73,1.0,78,0.0,,0.0,,6.0,22_33_44_44_49_74,0.0,,premiership,pool stage,EXETER_WORCESTER_2021-10-09,42,5,37,936,912,27,26,28,26
2021-10-09,LONDON IRISH,LEICESTER,1.0,54,2.0,18_48,3.0,26_36_45,3.0,62_71_77,1.0,55,1.0,50,premiership,pool stage,LONDON IRISH_LEICESTER_2021-10-09,16,21,-5,937,918,29,27,26,28
2021-10-09,RACING 92,PERPIGNAN,2.0,49_61,2.0,78_68,1.0,45,0.0,,2.0,50_62,2.0,69_79,top-14,pool stage,RACING 92_PERPIGNAN_2021-10-09,17,14,3,930,908,25,26,30,27
2021-10-09,TOULON,BRIVE,1.0,25,0.0,,2.0,13_56,3.0,62_65_58,1.0,26,0.0,,top-14,pool stage,TOULON_BRIVE_2021-10-09,13,9,4,951,899,30,25,26,26
2021-10-09,LA ROCHELLE,CASTRES,2.0,40_67,1.0,72,5.0,8_18_25_35_43,1.0,11,2.0,40_69,1.0,73,top-14,pool stage,LA ROCHELLE_CASTRES_2021-10-09,29,10,19,903,931,28,27,28,29
2021-10-09,TOULOUSE,PAU,5.0,60_53_65_48_75,1.0,10,1.0,43,1.0,57,5.0,49_54_61_66_76,1.0,11,top-14,pool stage,TOULOUSE_PAU_2021-10-09,38,10,28,925,890,26,27,25,25
2021-10-09,LEINSTER,ZEBRE,7.0,42_45_1_12_38_48_63,1.0,66,0.0,,0.0,,4.0,43_46_49_64,0.0,,urc,pool stage,LEINSTER_ZEBRE_2021-10-09,43,7,36,910,893,29,26,24,25
2021-10-09,GLASGOW,LIONS,1.0,2,0.0,,2.0,15_71,3.0,5_27_42,1.0,2,0.0,,urc,pool stage,GLASGOW_LIONS_2021-10-09,13,9,4,937,905,28,25,28,24
2021-10-09,CONNACHT,DRAGONS,2.0,58_71,4.0,51_26_64_46,4.0,2_13_30_33,3.0,17_61_74,0.0,,3.0,47_52_65,urc,pool stage,CONNACHT_DRAGONS_2021-10-09,22,35,-13,896,903,26,26,27,26
2021-10-09,EDINBURGH,STORMERS,2.0,5_2,2.0,32_8,2.0,28_35,2.0,12_38,2.0,3_7,2.0,9_33,urc,pool stage,EDINBURGH_STORMERS_2021-10-09,20,20,0,922,906,27,26,27,25
2021-10-09,BIARRITZ,LYON,1.0,29,6.0,11_18_42_50_65_60,0.0,,0.0,,0.0,,5.0,12_19_50_61_66,top-14,pool stage,BIARRITZ_LYON_2021-10-09,5,40,-35,909,911,27,27,28,26
2021-10-10,SCARLETS,MUNSTER,1.0,28,6.0,43_61_3_22_58_35,2.0,16_33,1.0,10,1.0,29,5.0,4_24_44_59_63,urc,pool stage,SCARLETS_MUNSTER_2021-10-10,13,43,-30,897,886,30,27,26,25
2021-10-10,PARIS,CLERMONT,2.0,13_50,1.0,62,4.0,18_28_75_79,3.0,22_34_40,0.0,,0.0,,top-14,pool stage,PARIS_CLERMONT_2021-10-10,22,14,8,896,906,28,25,27,25
2021-10-10,WASPS,NORTHAMPTON,2.0,58_17,3.0,12_62_81,4.0,32_50_68_71,1.0,26,2.0,18_58,1.0,13,premiership,pool stage,WASPS_NORTHAMPTON_2021-10-10,26,20,6,951,937,29,28,28,25
2021-10-15,SALE,HARLEQUINS,3.0,40_13_78,3.0,17_40_35,3.0,22_48_75,1.0,63,2.0,14_41,2.0,18_36,premiership,pool stage,SALE_HARLEQUINS_2021-10-15,28,22,6,912,907,26,26,26,25
2021-10-15,ULSTER,LIONS,4.0,47_3_66_34,1.0,16,0.0,,1.0,39,3.0,35_48_67,1.0,17,urc,pool stage,ULSTER_LIONS_2021-10-15,26,10,16,906,931,28,25,24,25
2021-10-15,DRAGONS,STORMERS,1.0,21,2.0,63_78,1.0,27,4.0,15_37_41_73,1.0,22,1.0,79,urc,pool stage,DRAGONS_STORMERS_2021-10-15,10,24,-14,903,915,26,26,27,26
2021-10-16,WORCESTER,LEICESTER,0.0,,7.0,32_71_26_11_68_56_74,1.0,16,1.0,5,0.0,,5.0,12_33_57_73_76,premiership,pool stage,WORCESTER_LEICESTER_2021-10-16,3,48,-45,904,941,28,25,27,27
2021-10-16,BENETTON,OSPREYS,4.0,5_59_65_51,4.0,35_42_47_32,0.0,,1.0,76,3.0,6_52_67,3.0,37_43_48,urc,pool stage,BENETTON_OSPREYS_2021-10-16,26,29,-3,897,925,25,27,31,26
2021-10-16,EDINBURGH,BULLS,1.0,7,1.0,69,4.0,28_32_35_73,1.0,20,0.0,,1.0,70,urc,pool stage,EDINBURGH_BULLS_2021-10-16,17,10,7,932,905,27,27,27,27
2021-10-16,LEINSTER,SCARLETS,6.0,24_18_45_70_78_60,2.0,48_12,1.0,3,1.0,0,5.0,25_46_61_71_79,1.0,49,urc,pool stage,LEINSTER_SCARLETS_2021-10-16,50,15,35,903,909,26,27,30,26
2021-10-16,CARDIFF,SHARKS,2.0,26_10,2.0,30_70,3.0,6_67_76,1.0,41,2.0,10_27,2.0,71_31,urc,pool stage,CARDIFF_SHARKS_2021-10-16,23,17,6,927,905,27,28,25,28
2021-10-16,MUNSTER,CONNACHT,2.0,38_77,2.0,52_68,2.0,48_58,2.0,2_9,2.0,39_79,1.0,69,urc,pool stage,MUNSTER_CONNACHT_2021-10-16,20,18,2,905,894,30,27,26,27
2021-10-16,MONTPELLIER,CLERMONT,1.0,12,1.0,7,5.0,5_31_33_49_68,5.0,40_59_65_71_74,0.0,,1.0,9,top-14,pool stage,MONTPELLIER_CLERMONT_2021-10-16,20,22,-2,915,917,27,27,28,26
2021-10-16,BRIVE,LA ROCHELLE,0.0,,1.0,69,2.0,9_30,1.0,10,0.0,,0.0,,top-14,pool stage,BRIVE_LA ROCHELLE_2021-10-16,6,8,-2,931,925,28,26,26,28
2021-10-16,CASTRES,BIARRITZ,6.0,10_28_43_40_57_66,2.0,23_54,0.0,,2.0,19_35,4.0,11_29_44_67,2.0,24_55,top-14,pool stage,CASTRES_BIARRITZ_2021-10-16,38,20,18,942,884,28,28,26,28
2021-10-16,PAU,BORDEAUX,3.0,44_55_73,4.0,7_40_13_65,4.0,5_21_28_58,3.0,24_34_48,3.0,45_56_74,4.0,8_15_40_66,top-14,pool stage,PAU_BORDEAUX_2021-10-16,33,37,-4,910,950,28,25,27,28
2021-10-16,PERPIGNAN,PARIS,1.0,37,2.0,31_50,4.0,4_27_49_67,3.0,13_20_77,1.0,38,2.0,31_51,top-14,pool stage,PERPIGNAN_PARIS_2021-10-16,22,23,-1,902,925,30,28,25,26
2021-10-16,ZEBRE,GLASGOW,0.0,,2.0,4_28,2.0,20_32,1.0,65,0.0,,2.0,5_29,urc,pool stage,ZEBRE_GLASGOW_2021-10-16,6,17,-11,919,932,25,26,28,26
2021-10-16,TOULON,RACING 92,2.0,69_77,2.0,55_20,2.0,28_36,5.0,31_40_47_59_75,2.0,70_78,1.0,20,top-14,pool stage,TOULON_RACING 92_2021-10-16,20,27,-7,947,915,28,25,26,27
2021-10-16,WASPS,EXETER,2.0,33_39,4.0,67_60_24_20,3.0,4_18_58,1.0,8,2.0,34_40,2.0,26_61,premiership,pool stage,WASPS_EXETER_2021-10-16,23,27,-4,916,936,28,28,27,27
2021-10-16,NEWCASTLE,BRISTOL,1.0,38,1.0,54,2.0,69_74,0.0,,1.0,40,0.0,,premiership,pool stage,NEWCASTLE_BRISTOL_2021-10-16,13,5,8,958,918,29,25,28,26
2021-10-17,LYON,TOULOUSE,3.0,44_15_50,1.0,67,2.0,22_58,4.0,14_20_31_48,2.0,16_51,1.0,67,top-14,pool stage,LYON_TOULOUSE_2021-10-17,25,19,6,903,911,26,26,27,25
2021-10-17,BATH,SARACENS,3.0,76_41_74,9.0,27_42_5_37_15_28_57_54_70,0.0,,1.0,2,1.0,42,9.0,6_16_27_30_38_43_55_59_71,premiership,pool stage,BATH_SARACENS_2021-10-17,17,71,-54,919,949,26,26,27,27
2021-10-17,LONDON IRISH,GLOUCESTER,3.0,11_66_18,3.0,47_54_58,2.0,41_51,2.0,21_23,2.0,12_19,2.0,55_59,premiership,pool stage,LONDON IRISH_GLOUCESTER_2021-10-17,25,25,0,903,916,30,25,29,26
2021-10-22,NORTHAMPTON,WORCESTER,10.0,21_14_75_8_27_44_57_29_51_79,1.0,9,0.0,,1.0,18,8.0,15_22_28_30_45_76_80_58,1.0,11,premiership,pool stage,NORTHAMPTON_WORCESTER_2021-10-22,66,10,56,929,901,29,25,29,25
2021-10-22,SCARLETS,BENETTON,4.0,16_54_18_64,4.0,43_57_28_72,2.0,49_70,0.0,,4.0,17_19_55_64,4.0,30_43_58_72,urc,pool stage,SCARLETS_BENETTON_2021-10-22,34,28,6,900,899,29,25,27,26
2021-10-22,GLASGOW,LEINSTER,2.0,38_79,4.0,6_51_27_60,1.0,15,1.0,4,1.0,39,4.0,8_28_53_61,urc,pool stage,GLASGOW_LEINSTER_2021-10-22,15,31,-16,919,894,28,26,27,27
2021-10-23,CONNACHT,ULSTER,4.0,11_24_81_61,1.0,67,1.0,27,2.0,5_16,4.0,12_24_65_82,0.0,,urc,pool stage,CONNACHT_ULSTER_2021-10-23,36,11,25,895,906,26,26,27,25
2021-10-23,OSPREYS,MUNSTER,0.0,,1.0,53,6.0,1_31_35_45_63_71,1.0,5,0.0,,1.0,54,urc,pool stage,OSPREYS_MUNSTER_2021-10-23,18,10,8,894,919,28,26,28,25
